# Timestep,Rewards,Exploration %,Training Score
5.000000000000000000e+03,-5.000000000000000000e+02,9.591666666666667140e+01,1.062643788754940033e-01
1.000000000000000000e+04,-4.919800000000000182e+02,9.183333333333332860e+01,2.946670143865048885e-02
1.500000000000000000e+04,-4.694800000000000182e+02,8.775000000000000000e+01,4.187527298927307129e-02
2.000000000000000000e+04,-2.416100000000000136e+02,8.366666666666667140e+01,4.244873095303773880e-01
2.500000000000000000e+04,-5.000000000000000000e+02,7.958333333333334281e+01,2.853885525837540627e-02
3.000000000000000000e+04,-1.764900000000000091e+02,7.550000000000000000e+01,2.668130863457918167e-02
3.500000000000000000e+04,-5.000000000000000000e+02,7.141666666666665719e+01,6.557258311659097672e-02
4.000000000000000000e+04,-5.000000000000000000e+02,6.733333333333332860e+01,4.002748187631368637e-01
4.500000000000000000e+04,-5.000000000000000000e+02,6.325000000000000711e+01,2.902787178754806519e-02
5.000000000000000000e+04,-5.000000000000000000e+02,5.916666666666666430e+01,1.716373953968286514e-02
5.500000000000000000e+04,-5.000000000000000000e+02,5.508333333333332860e+01,6.427070116624236107e-01
6.000000000000000000e+04,-5.000000000000000000e+02,5.100000000000000000e+01,3.502510227262973785e-01
6.500000000000000000e+04,-5.000000000000000000e+02,4.691666666666667140e+01,4.366646381095051765e-02
7.000000000000000000e+04,-1.876100000000000136e+02,4.283333333333333570e+01,3.047117199748754501e-01
7.500000000000000000e+04,-4.884700000000000273e+02,3.874999999999999289e+01,5.334309954196214676e-02
8.000000000000000000e+04,-2.912099999999999795e+02,3.466666666666667140e+01,4.599641850218176842e-01
8.500000000000000000e+04,-5.000000000000000000e+02,3.058333333333332860e+01,7.496850676834583282e-01
9.000000000000000000e+04,-5.000000000000000000e+02,2.650000000000000000e+01,4.286565380170941353e-01
9.500000000000000000e+04,-5.000000000000000000e+02,2.241666666666667496e+01,1.119382614269852638e+00
1.000000000000000000e+05,-5.000000000000000000e+02,1.833333333333333570e+01,3.067858600988984108e-01
1.050000000000000000e+05,-5.000000000000000000e+02,1.425000000000000711e+01,6.535449065268039703e-02
1.100000000000000000e+05,-1.300800000000000125e+02,1.016666666666666785e+01,6.689652148634195328e-02
1.150000000000000000e+05,-1.218100000000000023e+02,6.083333333333329485e+00,4.029385568574070930e-01
1.200000000000000000e+05,-5.000000000000000000e+02,2.000000000000001776e+00,5.273339711129665375e-01
1.250000000000000000e+05,-4.266700000000000159e+02,2.000000000000001776e+00,4.036167478188872337e-01
1.300000000000000000e+05,-3.716600000000000250e+02,2.000000000000001776e+00,7.537248358130455017e-02
1.350000000000000000e+05,-4.164100000000000250e+02,2.000000000000001776e+00,4.768098425120115280e-02
1.400000000000000000e+05,-1.109200000000000017e+02,2.000000000000001776e+00,3.963334057480096817e-01
1.450000000000000000e+05,-1.992899999999999920e+02,2.000000000000001776e+00,6.294246623292565346e-02
1.500000000000000000e+05,-3.527699999999999818e+02,2.000000000000001776e+00,3.451541531831026077e-02
1.550000000000000000e+05,-3.677200000000000273e+02,2.000000000000001776e+00,6.018664501607418060e-02
1.600000000000000000e+05,-3.078799999999999955e+02,2.000000000000001776e+00,4.231443488970398903e-02
1.650000000000000000e+05,-4.950600000000000023e+02,2.000000000000001776e+00,4.498894140124320984e-02
1.700000000000000000e+05,-4.946999999999999886e+02,2.000000000000001776e+00,8.639861233532428741e-01
1.750000000000000000e+05,-1.929300000000000068e+02,2.000000000000001776e+00,4.000812564045190811e-01
1.800000000000000000e+05,-4.842699999999999818e+02,2.000000000000001776e+00,1.207139138132333755e-01
1.850000000000000000e+05,-3.137500000000000000e+02,2.000000000000001776e+00,3.810859052464365959e-02
1.900000000000000000e+05,-5.000000000000000000e+02,2.000000000000001776e+00,6.295447163283824921e-01
1.950000000000000000e+05,-5.000000000000000000e+02,2.000000000000001776e+00,1.943833706900477409e-01
2.000000000000000000e+05,-1.594900000000000091e+02,2.000000000000001776e+00,2.590531576424837112e-02
