# Timestep,Rewards,Exploration %,Training Score
1.000000000000000000e+03,-2.000000000000000000e+02,9.994444444444444287e+01,2.412378154695034027e-01
2.000000000000000000e+03,-2.000000000000000000e+02,9.988888888888889994e+01,2.655447646975517273e-01
3.000000000000000000e+03,-2.000000000000000000e+02,9.983333333333332860e+01,2.810963243246078491e-01
4.000000000000000000e+03,-2.000000000000000000e+02,9.977777777777777146e+01,2.879064977169036865e-01
5.000000000000000000e+03,-2.000000000000000000e+02,9.972222222222222854e+01,2.788579687476158142e-01
6.000000000000000000e+03,-2.000000000000000000e+02,9.966666666666667140e+01,2.585558369755744934e-01
7.000000000000000000e+03,-2.000000000000000000e+02,9.961111111111110006e+01,2.480619698762893677e-01
8.000000000000000000e+03,-2.000000000000000000e+02,9.955555555555555713e+01,2.441327981650829315e-01
9.000000000000000000e+03,-2.000000000000000000e+02,9.950000000000000000e+01,2.142978198826313019e-01
1.000000000000000000e+04,-2.000000000000000000e+02,9.944444444444444287e+01,1.941024623811244965e-01
1.100000000000000000e+04,-2.000000000000000000e+02,9.938888888888889994e+01,1.853853985667228699e-01
1.200000000000000000e+04,-2.000000000000000000e+02,9.933333333333332860e+01,2.066731117665767670e-01
1.300000000000000000e+04,-2.000000000000000000e+02,9.927777777777777146e+01,1.639249697327613831e-01
1.400000000000000000e+04,-2.000000000000000000e+02,9.922222222222222854e+01,2.056249640882015228e-01
1.500000000000000000e+04,-2.000000000000000000e+02,9.916666666666667140e+01,2.293208464980125427e-01
1.600000000000000000e+04,-2.000000000000000000e+02,9.911111111111111427e+01,2.644532248377799988e-01
1.700000000000000000e+04,-2.000000000000000000e+02,9.905555555555555713e+01,1.643108204007148743e-01
1.800000000000000000e+04,-2.000000000000000000e+02,9.900000000000000000e+01,3.449417911469936371e-01
1.900000000000000000e+04,-2.000000000000000000e+02,9.894444444444444287e+01,1.913156062364578247e-01
2.000000000000000000e+04,-2.000000000000000000e+02,9.888888888888888573e+01,2.086252123117446899e-01
2.100000000000000000e+04,-2.000000000000000000e+02,9.883333333333332860e+01,1.921687386929988861e-01
2.200000000000000000e+04,-2.000000000000000000e+02,9.877777777777777146e+01,6.148838624358177185e-01
2.300000000000000000e+04,-2.000000000000000000e+02,9.872222222222222854e+01,7.271597832441329956e-01
2.400000000000000000e+04,-2.000000000000000000e+02,9.866666666666667140e+01,1.171752709895372391e+00
2.500000000000000000e+04,-2.000000000000000000e+02,9.861111111111111427e+01,1.934750489890575409e-01
2.600000000000000000e+04,-2.000000000000000000e+02,9.855555555555555713e+01,1.875069923698902130e-01
2.700000000000000000e+04,-2.000000000000000000e+02,9.850000000000000000e+01,1.534063618630170822e+00
2.800000000000000000e+04,-2.000000000000000000e+02,9.844444444444444287e+01,2.367375455796718597e-01
2.900000000000000000e+04,-2.000000000000000000e+02,9.838888888888888573e+01,2.038741894066333771e-01
3.000000000000000000e+04,-2.000000000000000000e+02,9.833333333333334281e+01,2.137687146663665771e+00
3.100000000000000000e+04,-2.000000000000000000e+02,9.827777777777777146e+01,2.334582246840000153e-01
3.200000000000000000e+04,-2.000000000000000000e+02,9.822222222222222854e+01,2.152564525604248047e-01
3.300000000000000000e+04,-2.000000000000000000e+02,9.816666666666667140e+01,2.433957420289516449e-01
