# Timestep,Rewards,Exploration %,Training Score
1.000000000000000000e+03,9.349999999999999645e+00,9.782222222222222285e+01,3.404344394803047180e-01
2.000000000000000000e+03,9.359999999999999432e+00,9.564444444444444571e+01,2.628402709960937500e-01
3.000000000000000000e+03,9.300000000000000711e+00,9.346666666666666856e+01,1.643685139715671539e-01
4.000000000000000000e+03,9.460000000000000853e+00,9.128888888888889142e+01,2.700249068439006805e-01
5.000000000000000000e+03,9.509999999999999787e+00,8.911111111111111427e+01,7.065338455140590668e-01
6.000000000000000000e+03,9.289999999999999147e+00,8.693333333333332291e+01,2.170866608619689941e+00
7.000000000000000000e+03,9.460000000000000853e+00,8.475555555555555998e+01,8.561940975487232208e-01
8.000000000000000000e+03,9.560000000000000497e+00,8.257777777777776862e+01,1.249385630711913109e+00
9.000000000000000000e+03,9.320000000000000284e+00,8.040000000000000568e+01,1.794442266225814819e+00
1.000000000000000000e+04,9.419999999999999929e+00,7.822222222222222854e+01,3.282298922538757324e+00
1.100000000000000000e+04,9.470000000000000639e+00,7.604444444444445139e+01,2.335145533084869385e+00
1.200000000000000000e+04,9.330000000000000071e+00,7.386666666666667425e+01,1.990185849368572235e+00
1.300000000000000000e+04,9.320000000000000284e+00,7.168888888888889710e+01,2.171356827020645142e+00
1.400000000000000000e+04,9.419999999999999929e+00,6.951111111111110574e+01,1.698375016450881958e+00
1.500000000000000000e+04,9.419999999999999929e+00,6.733333333333332860e+01,1.673256799578666687e+00
1.600000000000000000e+04,4.650000000000000000e+01,6.515555555555555145e+01,1.229489874094724655e+00
1.700000000000000000e+04,2.937000000000000099e+01,6.297777777777777430e+01,1.515247331932187080e+00
1.800000000000000000e+04,3.781000000000000227e+01,6.079999999999999716e+01,8.401797525584697723e-01
1.900000000000000000e+04,3.789999999999999858e+01,5.862222222222222001e+01,1.802764963358640671e+00
2.000000000000000000e+04,3.611999999999999744e+01,5.644444444444444997e+01,6.616128906607627869e-01
2.100000000000000000e+04,2.689999999999999858e+01,5.426666666666666572e+01,1.687409367412328720e+00
2.200000000000000000e+04,2.730000000000000071e+01,5.208888888888889568e+01,1.609630886465311050e+00
2.300000000000000000e+04,2.794999999999999929e+01,4.991111111111111853e+01,2.118397086858749390e+00
2.400000000000000000e+04,7.221999999999999886e+01,4.773333333333334139e+01,1.205364422872662544e+00
2.500000000000000000e+04,8.764000000000000057e+01,4.555555555555555003e+01,8.773963358253240585e-01
2.600000000000000000e+04,1.566299999999999955e+02,4.337777777777777999e+01,2.608207892626523972e-02
2.700000000000000000e+04,7.701999999999999602e+01,4.120000000000000284e+01,1.727272636257112026e+00
2.800000000000000000e+04,1.458799999999999955e+02,3.902222222222222570e+01,8.300144812092185020e-01
2.900000000000000000e+04,1.261099999999999994e+02,3.684444444444444855e+01,7.118908278644084930e-01
