# Timestep,Rewards,Exploration %,Training Score
5.000000000000000000e+03,-5.000000000000000000e+02,9.918333333333333712e+01,1.650719493627548218e-01
1.000000000000000000e+04,-5.000000000000000000e+02,9.836666666666667425e+01,2.347281426191329956e-01
1.500000000000000000e+04,-5.000000000000000000e+02,9.754999999999999716e+01,2.857773005962371826e-01
2.000000000000000000e+04,-5.000000000000000000e+02,9.673333333333333428e+01,4.425942003726959229e-01
2.500000000000000000e+04,-5.000000000000000000e+02,9.591666666666667140e+01,2.375592440366744995e-01
3.000000000000000000e+04,-5.000000000000000000e+02,9.509999999999999432e+01,5.142269730567932129e-01
3.500000000000000000e+04,-2.013300000000000125e+02,9.428333333333333144e+01,1.244328245520591736e-01
4.000000000000000000e+04,-5.000000000000000000e+02,9.346666666666666856e+01,1.394985914230346680e-01
4.500000000000000000e+04,-5.000000000000000000e+02,9.265000000000000568e+01,1.386445403099060059e+00
5.000000000000000000e+04,-4.983899999999999864e+02,9.183333333333332860e+01,7.186062932014465332e-01
5.500000000000000000e+04,-5.000000000000000000e+02,9.101666666666666572e+01,3.925885260105133057e-01
6.000000000000000000e+04,-5.000000000000000000e+02,9.020000000000000284e+01,4.885819256305694580e-01
6.500000000000000000e+04,-5.000000000000000000e+02,8.938333333333333997e+01,5.739262700080871582e-01
7.000000000000000000e+04,-4.560500000000000114e+02,8.856666666666667709e+01,1.895197480916976929e-01
7.500000000000000000e+04,-5.000000000000000000e+02,8.775000000000000000e+01,5.472779870033264160e-01
8.000000000000000000e+04,-5.000000000000000000e+02,8.693333333333332291e+01,3.622188568115234375e-01
8.500000000000000000e+04,-5.000000000000000000e+02,8.611666666666666003e+01,2.371924072504043579e-01
9.000000000000000000e+04,-5.000000000000000000e+02,8.529999999999999716e+01,5.412876009941101074e-01
9.500000000000000000e+04,-5.000000000000000000e+02,8.448333333333333428e+01,4.380807578563690186e-01
1.000000000000000000e+05,-5.000000000000000000e+02,8.366666666666667140e+01,3.919455111026763916e-01
1.050000000000000000e+05,-5.000000000000000000e+02,8.284999999999999432e+01,5.256011486053466797e-01
1.100000000000000000e+05,-5.000000000000000000e+02,8.203333333333333144e+01,1.275801658630371094e-01
1.150000000000000000e+05,-5.000000000000000000e+02,8.121666666666666856e+01,2.085247188806533813e-01
1.200000000000000000e+05,-5.000000000000000000e+02,8.040000000000000568e+01,2.591771781444549561e-01
1.250000000000000000e+05,-5.000000000000000000e+02,7.958333333333334281e+01,1.443599313497543335e-01
1.300000000000000000e+05,-5.000000000000000000e+02,7.876666666666666572e+01,8.976325392723083496e-02
1.350000000000000000e+05,-5.000000000000000000e+02,7.795000000000000284e+01,1.663728505373001099e-01
1.400000000000000000e+05,-5.000000000000000000e+02,7.713333333333332575e+01,8.466001152992248535e-01
1.450000000000000000e+05,-5.000000000000000000e+02,7.631666666666666288e+01,7.065704464912414551e-02
1.500000000000000000e+05,-5.000000000000000000e+02,7.550000000000000000e+01,1.121831014752388000e-01
1.550000000000000000e+05,-5.000000000000000000e+02,7.468333333333332291e+01,8.920517563819885254e-02
1.600000000000000000e+05,-5.000000000000000000e+02,7.386666666666667425e+01,5.722227320075035095e-02
