# Timestep,Rewards,Exploration %,Training Score
5.000000000000000000e+03,-5.000000000000000000e+02,9.912500000000000000e+01,1.649303436279296875e-01
1.000000000000000000e+04,-5.000000000000000000e+02,9.825000000000000000e+01,2.117049545049667358e-01
1.500000000000000000e+04,-5.000000000000000000e+02,9.737500000000000000e+01,2.197221368551254272e-01
2.000000000000000000e+04,-5.000000000000000000e+02,9.650000000000000000e+01,3.028621375560760498e-01
2.500000000000000000e+04,-5.000000000000000000e+02,9.562500000000000000e+01,3.728140890598297119e-01
3.000000000000000000e+04,-5.000000000000000000e+02,9.475000000000000000e+01,3.042782545089721680e-01
3.500000000000000000e+04,-5.000000000000000000e+02,9.387500000000000000e+01,1.872160285711288452e-01
4.000000000000000000e+04,-5.000000000000000000e+02,9.300000000000000000e+01,4.245044291019439697e-01
4.500000000000000000e+04,-5.000000000000000000e+02,9.212500000000000000e+01,2.573968470096588135e-01
5.000000000000000000e+04,-5.000000000000000000e+02,9.125000000000000000e+01,2.650524079799652100e-01
5.500000000000000000e+04,-5.000000000000000000e+02,9.037500000000000000e+01,3.341945409774780273e-01
6.000000000000000000e+04,-5.000000000000000000e+02,8.950000000000000000e+01,2.955028414726257324e-01
6.500000000000000000e+04,-5.000000000000000000e+02,8.862500000000000000e+01,1.488112360239028931e-01
7.000000000000000000e+04,-5.000000000000000000e+02,8.775000000000000000e+01,1.457510590553283691e-01
7.500000000000000000e+04,-5.000000000000000000e+02,8.687500000000000000e+01,1.188309192657470703e-01
8.000000000000000000e+04,-5.000000000000000000e+02,8.600000000000000000e+01,2.544825077056884766e-01
8.500000000000000000e+04,-4.973399999999999750e+02,8.512500000000000000e+01,2.566934525966644287e-01
9.000000000000000000e+04,-4.989499999999999886e+02,8.425000000000000000e+01,2.620734870433807373e-01
9.500000000000000000e+04,-5.000000000000000000e+02,8.337500000000000000e+01,2.378059029579162598e-01
1.000000000000000000e+05,-4.632500000000000000e+02,8.250000000000000000e+01,4.511298835277557373e-01
1.050000000000000000e+05,-5.000000000000000000e+02,8.162500000000000000e+01,2.605499923229217529e-01
1.100000000000000000e+05,-5.000000000000000000e+02,8.075000000000000000e+01,3.476839065551757812e-01
1.150000000000000000e+05,-5.000000000000000000e+02,7.987500000000000000e+01,4.688751697540283203e-01
1.200000000000000000e+05,-1.538700000000000045e+02,7.900000000000000000e+01,2.358206659555435181e-01
1.250000000000000000e+05,-2.180999999999999943e+02,7.812500000000000000e+01,2.871514260768890381e-01
1.300000000000000000e+05,-5.000000000000000000e+02,7.725000000000000000e+01,2.677428424358367920e-01
1.350000000000000000e+05,-4.925799999999999841e+02,7.637500000000000000e+01,2.256499081850051880e-01
1.400000000000000000e+05,-2.861899999999999977e+02,7.550000000000000000e+01,3.418987095355987549e-01
1.450000000000000000e+05,-5.000000000000000000e+02,7.462500000000000000e+01,4.348340928554534912e-01
1.500000000000000000e+05,-5.000000000000000000e+02,7.375000000000000000e+01,9.583532810211181641e-02
1.550000000000000000e+05,-5.000000000000000000e+02,7.287500000000000000e+01,1.154600381851196289e+00
1.600000000000000000e+05,-3.679700000000000273e+02,7.200000000000000000e+01,3.001969754695892334e-01
1.650000000000000000e+05,-3.773500000000000227e+02,7.112500000000000000e+01,1.954009681940078735e-01
1.700000000000000000e+05,-5.000000000000000000e+02,7.025000000000000000e+01,8.259925246238708496e-01
1.750000000000000000e+05,-5.000000000000000000e+02,6.937500000000000000e+01,1.273168325424194336e-01
1.800000000000000000e+05,-5.000000000000000000e+02,6.850000000000000000e+01,1.174025759100914001e-01
1.850000000000000000e+05,-5.000000000000000000e+02,6.762500000000000000e+01,1.836005002260208130e-01
1.900000000000000000e+05,-4.848000000000000114e+02,6.675000000000000000e+01,1.487741321325302124e-01
1.950000000000000000e+05,-5.000000000000000000e+02,6.587500000000000000e+01,1.166207715868949890e-01
2.000000000000000000e+05,-5.000000000000000000e+02,6.500000000000000000e+01,2.495284080505371094e-01
2.050000000000000000e+05,-5.000000000000000000e+02,6.412500000000001421e+01,6.950936466455459595e-02
2.100000000000000000e+05,-5.000000000000000000e+02,6.325000000000000711e+01,7.945209741592407227e-02
2.150000000000000000e+05,-5.000000000000000000e+02,6.237500000000000000e+01,1.496739834547042847e-01
2.200000000000000000e+05,-4.555400000000000205e+02,6.150000000000000000e+01,1.509568244218826294e-01
2.250000000000000000e+05,-5.000000000000000000e+02,6.062499999999999289e+01,2.104627639055252075e-01
2.300000000000000000e+05,-5.000000000000000000e+02,5.975000000000000000e+01,1.295604854822158813e-01
2.350000000000000000e+05,-5.000000000000000000e+02,5.887500000000000000e+01,1.183676049113273621e-01
2.400000000000000000e+05,-4.402900000000000205e+02,5.800000000000000711e+01,9.172642230987548828e-02
2.450000000000000000e+05,-5.000000000000000000e+02,5.712500000000000000e+01,1.875823140144348145e-01
2.500000000000000000e+05,-5.000000000000000000e+02,5.625000000000000000e+01,1.226044297218322754e-01
2.550000000000000000e+05,-5.000000000000000000e+02,5.537500000000000000e+01,8.960645645856857300e-02
2.600000000000000000e+05,-5.000000000000000000e+02,5.449999999999999289e+01,3.673241138458251953e-01
2.650000000000000000e+05,-5.000000000000000000e+02,5.362500000000000000e+01,7.168354094028472900e-02
2.700000000000000000e+05,-5.000000000000000000e+02,5.275000000000000711e+01,6.818067431449890137e-01
2.750000000000000000e+05,-5.000000000000000000e+02,5.187500000000000711e+01,1.429243922233581543e+00
2.800000000000000000e+05,-5.000000000000000000e+02,5.100000000000000000e+01,5.502456426620483398e-01
2.850000000000000000e+05,-5.000000000000000000e+02,5.012500000000000000e+01,5.164881050586700439e-02
2.900000000000000000e+05,-5.000000000000000000e+02,4.924999999999999289e+01,8.319044858217239380e-02
2.950000000000000000e+05,-5.000000000000000000e+02,4.837500000000000000e+01,6.954035162925720215e-02
3.000000000000000000e+05,-5.000000000000000000e+02,4.750000000000000000e+01,4.838636144995689392e-02
3.050000000000000000e+05,-5.000000000000000000e+02,4.662500000000000711e+01,4.718823730945587158e-02
3.100000000000000000e+05,-5.000000000000000000e+02,4.575000000000000000e+01,7.118332386016845703e-02
3.150000000000000000e+05,-5.000000000000000000e+02,4.487500000000000000e+01,7.149421572685241699e-01
3.200000000000000000e+05,-5.000000000000000000e+02,4.400000000000000711e+01,7.555695176124572754e-01
3.250000000000000000e+05,-5.000000000000000000e+02,4.312499999999999289e+01,7.119090110063552856e-02
3.300000000000000000e+05,-5.000000000000000000e+02,4.225000000000000000e+01,5.037182569503784180e-02
3.350000000000000000e+05,-4.903999999999999773e+02,4.137500000000000711e+01,5.919791758060455322e-02
3.400000000000000000e+05,-4.981499999999999773e+02,4.050000000000000000e+01,5.715888738632202148e-01
3.450000000000000000e+05,-5.000000000000000000e+02,3.962500000000000000e+01,6.991834640502929688e-01
3.500000000000000000e+05,-5.000000000000000000e+02,3.874999999999999289e+01,4.078435525298118591e-02
3.550000000000000000e+05,-5.000000000000000000e+02,3.787500000000000000e+01,3.371818736195564270e-02
3.600000000000000000e+05,-5.000000000000000000e+02,3.700000000000000000e+01,4.937653616070747375e-02
3.650000000000000000e+05,-5.000000000000000000e+02,3.612499999999999289e+01,4.503625258803367615e-02
3.700000000000000000e+05,-5.000000000000000000e+02,3.525000000000000000e+01,3.236679360270500183e-02
3.750000000000000000e+05,-5.000000000000000000e+02,3.437500000000001421e+01,3.732149302959442139e-02
3.800000000000000000e+05,-5.000000000000000000e+02,3.350000000000000000e+01,3.734266385436058044e-02
3.850000000000000000e+05,-5.000000000000000000e+02,3.262500000000000711e+01,5.143322423100471497e-02
3.900000000000000000e+05,-4.428500000000000227e+02,3.175000000000000000e+01,3.922001123428344727e-01
3.950000000000000000e+05,-5.000000000000000000e+02,3.087499999999999645e+01,7.981460541486740112e-02
4.000000000000000000e+05,-5.000000000000000000e+02,3.000000000000000355e+01,7.429443001747131348e-01
4.050000000000000000e+05,-5.000000000000000000e+02,2.912500000000000000e+01,1.441947937011718750e+00
4.100000000000000000e+05,-4.750099999999999909e+02,2.825000000000000711e+01,5.202854797244071960e-02
