# Exploration %,Episodes,Rewards,Timestep,Training Score
9.934666666666667822e+01,3.200000000000000000e+01,2.139999999999999858e+01,1.000000000000000000e+03,2.550321817398071289e-01
9.869333333333332803e+01,4.800000000000000000e+01,2.389999999999999858e+01,2.000000000000000000e+03,1.334207653999328613e-01
9.804000000000000625e+01,8.000000000000000000e+01,2.200000000000000000e+01,3.000000000000000000e+03,1.519985673949122429e-01
9.738666666666667027e+01,1.040000000000000000e+02,2.200000000000000000e+01,4.000000000000000000e+03,3.481728155165910721e-01
9.673333333333333428e+01,1.280000000000000000e+02,2.039999999999999858e+01,5.000000000000000000e+03,1.047816624864935875e+00
9.607999999999999829e+01,1.520000000000000000e+02,1.969999999999999929e+01,6.000000000000000000e+03,6.997526660561561584e-01
9.542666666666667652e+01,1.680000000000000000e+02,2.019999999999999929e+01,7.000000000000000000e+03,6.861514374613761902e-01
9.477333333333332632e+01,1.920000000000000000e+02,2.080000000000000071e+01,8.000000000000000000e+03,1.005099155008792877e+00
9.412000000000000455e+01,2.240000000000000000e+02,2.080000000000000071e+01,9.000000000000000000e+03,9.803189933300018311e-01
9.346666666666666856e+01,2.480000000000000000e+02,2.139999999999999858e+01,1.000000000000000000e+04,7.549167014658451080e-01
9.281333333333333258e+01,2.800000000000000000e+02,2.060000000000000142e+01,1.100000000000000000e+04,1.453142285346984863e+00
9.215999999999999659e+01,3.120000000000000000e+02,1.969999999999999929e+01,1.200000000000000000e+04,6.955610662698745728e-01
9.150666666666667481e+01,3.280000000000000000e+02,2.180000000000000071e+01,1.300000000000000000e+04,1.273499645292758942e+00
9.085333333333332462e+01,3.440000000000000000e+02,2.250000000000000000e+01,1.400000000000000000e+04,4.416181556880474091e-01
9.020000000000000284e+01,3.600000000000000000e+02,2.480000000000000071e+01,1.500000000000000000e+04,1.659690886735916138e+00
8.954666666666666686e+01,3.840000000000000000e+02,2.580000000000000071e+01,1.600000000000000000e+04,1.498499676585197449e+00
8.889333333333333087e+01,4.080000000000000000e+02,2.689999999999999858e+01,1.700000000000000000e+04,3.156340103596448898e-01
8.823999999999999488e+01,4.240000000000000000e+02,2.689999999999999858e+01,1.800000000000000000e+04,1.767805293202400208e+00
