# Timestep,Rewards,Exploration %,Training Score
5.000000000000000000e+03,9.239583333333333925e+00,9.673333333333333428e+01,4.978967010974884033e-01
1.000000000000000000e+04,9.229166666666666075e+00,9.346666666666666856e+01,4.236368834972381592e-01
1.500000000000000000e+04,8.875000000000000000e+00,9.020000000000000284e+01,7.130114436149597168e-01
2.000000000000000000e+04,9.156250000000000000e+00,8.693333333333332291e+01,2.052749156951904297e+00
2.500000000000000000e+04,9.437500000000000000e+00,8.366666666666667140e+01,5.478718280792236328e+00
3.000000000000000000e+04,9.510416666666666075e+00,8.040000000000000568e+01,2.815787076950073242e+00
3.500000000000000000e+04,9.343750000000000000e+00,7.713333333333332575e+01,6.599718093872070312e+00
4.000000000000000000e+04,9.510416666666666075e+00,7.386666666666667425e+01,7.012312889099121094e+00
4.500000000000000000e+04,9.270833333333333925e+00,7.059999999999999432e+01,2.898777723312377930e+00
5.000000000000000000e+04,9.572916666666666075e+00,6.733333333333332860e+01,3.664962768554687500e+00
5.500000000000000000e+04,1.866666666666666785e+01,6.406666666666667709e+01,2.570400714874267578e+00
6.000000000000000000e+04,3.418750000000000000e+01,6.079999999999999716e+01,1.364456057548522949e+00
6.500000000000000000e+04,5.013541666666666430e+01,5.753333333333332433e+01,5.204331874847412109e-01
7.000000000000000000e+04,5.481250000000000000e+01,5.426666666666666572e+01,2.563104629516601562e+00
7.500000000000000000e+04,3.994791666666666430e+01,5.100000000000000000e+01,1.103043437004089355e+00
8.000000000000000000e+04,6.360416666666666430e+01,4.773333333333334139e+01,2.248862743377685547e+00
8.500000000000000000e+04,6.955208333333332860e+01,4.446666666666666856e+01,1.793708324432373047e+00
9.000000000000000000e+04,5.386458333333333570e+01,4.120000000000000284e+01,3.230333566665649414e+00
9.500000000000000000e+04,4.773958333333333570e+01,3.793333333333334423e+01,1.527301430702209473e+00
1.000000000000000000e+05,3.497916666666666430e+01,3.466666666666667140e+01,4.443843841552734375e+00
1.050000000000000000e+05,6.781250000000000000e+01,3.140000000000000568e+01,2.494369983673095703e+00
1.100000000000000000e+05,9.682291666666667140e+01,2.813333333333334352e+01,1.076082229614257812e+00
1.150000000000000000e+05,1.097187500000000000e+02,2.486666666666666003e+01,1.049819946289062500e+00
1.200000000000000000e+05,1.997500000000000000e+02,2.159999999999999787e+01,8.122844994068145752e-02
1.250000000000000000e+05,1.980104166666666572e+02,1.833333333333333570e+01,2.295772314071655273e+00
1.300000000000000000e+05,1.998437500000000000e+02,1.506666666666666110e+01,4.607634991407394409e-02
1.350000000000000000e+05,1.917291666666666572e+02,1.179999999999999893e+01,6.602682173252105713e-03
1.400000000000000000e+05,1.994062500000000000e+02,8.533333333333336768e+00,1.119909994304180145e-02
1.450000000000000000e+05,1.855000000000000000e+02,5.266666666666663943e+00,1.959119364619255066e-02
1.500000000000000000e+05,1.238437500000000000e+02,2.000000000000001776e+00,5.751224700361490250e-03
1.550000000000000000e+05,8.904166666666667140e+01,2.000000000000001776e+00,1.437082409858703613e+00
1.600000000000000000e+05,8.001041666666667140e+01,2.000000000000001776e+00,4.258519113063812256e-01
1.650000000000000000e+05,7.206250000000000000e+01,2.000000000000001776e+00,8.867717348039150238e-03
1.700000000000000000e+05,7.234375000000000000e+01,2.000000000000001776e+00,8.156472817063331604e-03
1.750000000000000000e+05,6.876041666666667140e+01,2.000000000000001776e+00,2.248235419392585754e-02
1.800000000000000000e+05,7.517708333333332860e+01,2.000000000000001776e+00,2.016149997711181641e+00
1.850000000000000000e+05,1.881666666666666572e+02,2.000000000000001776e+00,1.801950298249721527e-02
1.900000000000000000e+05,1.821041666666666572e+02,2.000000000000001776e+00,2.096175029873847961e-02
1.950000000000000000e+05,1.142708333333333286e+02,2.000000000000001776e+00,7.681807279586791992e-01
2.000000000000000000e+05,3.701041666666666430e+01,2.000000000000001776e+00,5.848874449729919434e-01
2.050000000000000000e+05,2.688541666666666785e+01,2.000000000000001776e+00,4.710300922393798828e+00
2.100000000000000000e+05,3.151041666666666785e+01,2.000000000000001776e+00,2.157718658447265625e+00
2.150000000000000000e+05,4.533333333333333570e+01,2.000000000000001776e+00,2.773700058460235596e-01
2.200000000000000000e+05,6.295833333333333570e+01,2.000000000000001776e+00,3.311910480260848999e-02
2.250000000000000000e+05,1.362916666666666572e+02,2.000000000000001776e+00,1.008340567350387573e-01
2.300000000000000000e+05,1.991145833333333428e+02,2.000000000000001776e+00,1.404339168220758438e-02
2.350000000000000000e+05,1.997708333333333428e+02,2.000000000000001776e+00,4.786680918186903000e-03
2.400000000000000000e+05,1.968020833333333428e+02,2.000000000000001776e+00,2.065426826477050781e+00
2.450000000000000000e+05,1.998750000000000000e+02,2.000000000000001776e+00,2.610326372087001801e-02
2.500000000000000000e+05,1.376041666666666572e+02,2.000000000000001776e+00,1.120910525321960449e+00
