# Exploration %,Episodes,Rewards,Timestep,Training Score
9.934666666666667822e+01,1.000000000000000000e+02,7.640000000000000568e+01,1.000000000000000000e+03,4.032464325428009033e+00
9.869333333333332803e+01,2.000000000000000000e+02,7.600000000000000000e+01,2.000000000000000000e+03,4.544344782829284668e+00
9.804000000000000625e+01,3.000000000000000000e+02,7.640000000000000568e+01,3.000000000000000000e+03,5.602933406829833984e+00
9.738666666666667027e+01,4.000000000000000000e+02,7.640000000000000568e+01,4.000000000000000000e+03,5.754617452621459961e+00
9.673333333333333428e+01,5.000000000000000000e+02,7.600000000000000000e+01,5.000000000000000000e+03,7.777849793434143066e+00
9.607999999999999829e+01,6.000000000000000000e+02,7.629999999999999716e+01,6.000000000000000000e+03,9.297673463821411133e+00
9.542666666666667652e+01,7.000000000000000000e+02,7.640000000000000568e+01,7.000000000000000000e+03,1.260090470314025879e+01
9.477333333333332632e+01,8.000000000000000000e+02,7.640000000000000568e+01,8.000000000000000000e+03,1.782473349571228027e+01
9.412000000000000455e+01,9.000000000000000000e+02,7.670000000000000284e+01,9.000000000000000000e+03,2.265318965911865234e+01
9.346666666666666856e+01,1.000000000000000000e+03,7.640000000000000568e+01,1.000000000000000000e+04,2.350888156890869141e+01
9.281333333333333258e+01,1.100000000000000000e+03,7.640000000000000568e+01,1.100000000000000000e+04,2.954114961624145508e+01
9.215999999999999659e+01,1.200000000000000000e+03,7.679999999999999716e+01,1.200000000000000000e+04,4.605288887023925781e+01
9.150666666666667481e+01,1.300000000000000000e+03,7.640000000000000568e+01,1.300000000000000000e+04,5.561378479003906250e+01
9.085333333333332462e+01,1.400000000000000000e+03,7.729999999999999716e+01,1.400000000000000000e+04,5.751017665863037109e+01
9.020000000000000284e+01,1.500000000000000000e+03,7.690000000000000568e+01,1.500000000000000000e+04,3.118120765686035156e+01
8.954666666666666686e+01,1.600000000000000000e+03,7.659999999999999432e+01,1.600000000000000000e+04,2.614899444580078125e+01
8.889333333333333087e+01,1.700000000000000000e+03,7.679999999999999716e+01,1.700000000000000000e+04,1.668745732307434082e+01
8.823999999999999488e+01,1.800000000000000000e+03,7.679999999999999716e+01,1.800000000000000000e+04,1.428673875331878662e+01
8.758666666666667311e+01,1.900000000000000000e+03,7.690000000000000568e+01,1.900000000000000000e+04,6.745450019836425781e+00
8.693333333333332291e+01,2.000000000000000000e+03,7.679999999999999716e+01,2.000000000000000000e+04,7.661820650100708008e+00
8.628000000000000114e+01,2.100000000000000000e+03,7.670000000000000284e+01,2.100000000000000000e+04,1.383176684379577637e+00
8.562666666666667936e+01,2.200000000000000000e+03,7.640000000000000568e+01,2.200000000000000000e+04,1.151837319135665894e+00
8.497333333333332916e+01,2.300000000000000000e+03,7.700000000000000000e+01,2.300000000000000000e+04,8.842750489711761475e-01
8.431999999999999318e+01,2.400000000000000000e+03,7.690000000000000568e+01,2.400000000000000000e+04,3.854012303054332733e-01
8.366666666666667140e+01,2.500000000000000000e+03,7.700000000000000000e+01,2.500000000000000000e+04,2.924277447164058685e-01
8.301333333333333542e+01,2.600000000000000000e+03,7.720000000000000284e+01,2.600000000000000000e+04,3.174238130450248718e-01
8.235999999999999943e+01,2.700000000000000000e+03,7.750000000000000000e+01,2.700000000000000000e+04,2.763645835220813751e-01
8.170666666666666345e+01,2.800000000000000000e+03,7.740000000000000568e+01,2.800000000000000000e+04,1.492601931095123291e-01
8.105333333333332746e+01,2.900000000000000000e+03,7.750000000000000000e+01,2.900000000000000000e+04,1.311828345060348511e-01
8.040000000000000568e+01,3.000000000000000000e+03,7.709999999999999432e+01,3.000000000000000000e+04,1.162756253033876419e-01
7.974666666666666970e+01,3.100000000000000000e+03,7.779999999999999716e+01,3.100000000000000000e+04,1.011052820831537247e-01
7.909333333333333371e+01,3.200000000000000000e+03,7.750000000000000000e+01,3.200000000000000000e+04,1.410843450576066971e-01
7.843999999999999773e+01,3.300000000000000000e+03,7.790000000000000568e+01,3.300000000000000000e+04,7.573418039828538895e-02
7.778666666666667595e+01,3.400000000000000000e+03,7.729999999999999716e+01,3.400000000000000000e+04,3.121924959123134613e-01
7.713333333333332575e+01,3.500000000000000000e+03,7.740000000000000568e+01,3.500000000000000000e+04,1.875004861503839493e-01
7.648000000000000398e+01,3.600000000000000000e+03,7.759999999999999432e+01,3.600000000000000000e+04,2.946519553661346436e-01
7.582666666666666799e+01,3.700000000000000000e+03,7.750000000000000000e+01,3.700000000000000000e+04,1.812978051602840424e-01
7.517333333333333201e+01,3.800000000000000000e+03,7.779999999999999716e+01,3.800000000000000000e+04,1.379834897816181183e-01
7.451999999999999602e+01,3.900000000000000000e+03,7.779999999999999716e+01,3.900000000000000000e+04,4.864345025271177292e-02
7.386666666666667425e+01,4.000000000000000000e+03,7.770000000000000284e+01,4.000000000000000000e+04,5.925542069599032402e-02
7.321333333333332405e+01,4.100000000000000000e+03,7.759999999999999432e+01,4.100000000000000000e+04,4.416477307677268982e-02
7.256000000000000227e+01,4.200000000000000000e+03,7.750000000000000000e+01,4.200000000000000000e+04,5.064294394105672836e-02
7.190666666666666629e+01,4.300000000000000000e+03,7.770000000000000284e+01,4.300000000000000000e+04,4.183790041133761406e-02
7.125333333333333030e+01,4.400000000000000000e+03,7.740000000000000568e+01,4.400000000000000000e+04,4.817854752764105797e-02
7.059999999999999432e+01,4.500000000000000000e+03,7.779999999999999716e+01,4.500000000000000000e+04,4.739796277135610580e-02
6.994666666666667254e+01,4.600000000000000000e+03,7.759999999999999432e+01,4.600000000000000000e+04,4.664757102727890015e-02
6.929333333333333655e+01,4.700000000000000000e+03,7.809999999999999432e+01,4.700000000000000000e+04,9.973407443612813950e-02
6.864000000000000057e+01,4.800000000000000000e+03,7.820000000000000284e+01,4.800000000000000000e+04,4.440361866727471352e-02
6.798666666666666458e+01,4.900000000000000000e+03,7.809999999999999432e+01,4.900000000000000000e+04,3.391099628061056137e-02
6.733333333333332860e+01,5.000000000000000000e+03,7.850000000000000000e+01,5.000000000000000000e+04,4.740815632976591587e-02
6.668000000000000682e+01,5.100000000000000000e+03,7.850000000000000000e+01,5.100000000000000000e+04,2.525884099304676056e-02
6.602666666666667084e+01,5.200000000000000000e+03,7.829999999999999716e+01,5.200000000000000000e+04,4.375670058652758598e-02
6.537333333333333485e+01,5.300000000000000000e+03,7.840000000000000568e+01,5.300000000000000000e+04,2.983215241692960262e-02
6.471999999999999886e+01,5.400000000000000000e+03,7.850000000000000000e+01,5.400000000000000000e+04,5.182678066194057465e-02
6.406666666666667709e+01,5.500000000000000000e+03,7.870000000000000284e+01,5.500000000000000000e+04,4.322956688702106476e-02
6.341333333333333400e+01,5.600000000000000000e+03,7.890000000000000568e+01,5.600000000000000000e+04,2.501798374578356743e-02
6.275999999999999091e+01,5.700000000000000000e+03,7.859999999999999432e+01,5.700000000000000000e+04,3.293316951021552086e-02
6.210666666666666913e+01,5.800000000000000000e+03,7.859999999999999432e+01,5.800000000000000000e+04,6.292452616617083549e-02
6.145333333333334025e+01,5.900000000000000000e+03,7.840000000000000568e+01,5.900000000000000000e+04,6.004476267844438553e-02
6.079999999999999716e+01,6.000000000000000000e+03,7.779999999999999716e+01,6.000000000000000000e+04,1.310373209416866302e-01
6.014666666666666117e+01,6.100000000000000000e+03,7.820000000000000284e+01,6.100000000000000000e+04,4.741393104195594788e-01
5.949333333333333229e+01,6.200000000000000000e+03,7.709999999999999432e+01,6.200000000000000000e+04,1.440620630979537964e+00
5.884000000000000341e+01,6.300000000000000000e+03,7.729999999999999716e+01,6.300000000000000000e+04,2.819611608982086182e+00
5.818666666666666742e+01,6.400000000000000000e+03,7.720000000000000284e+01,6.400000000000000000e+04,1.508821070194244385e+00
5.753333333333332433e+01,6.500000000000000000e+03,7.409999999999999432e+01,6.500000000000000000e+04,9.849447757005691528e-01
5.687999999999999545e+01,6.600000000000000000e+03,7.700000000000000000e+01,6.600000000000000000e+04,4.630637764930725098e-01
5.622666666666666657e+01,6.700000000000000000e+03,7.700000000000000000e+01,6.700000000000000000e+04,4.259724393486976624e-01
5.557333333333333769e+01,6.800000000000000000e+03,7.709999999999999432e+01,6.800000000000000000e+04,4.859060868620872498e-01
5.491999999999998749e+01,6.900000000000000000e+03,7.559999999999999432e+01,6.900000000000000000e+04,2.094977907836437225e+00
5.426666666666666572e+01,7.000000000000000000e+03,7.759999999999999432e+01,7.000000000000000000e+04,7.466956228017807007e-01
5.361333333333333684e+01,7.100000000000000000e+03,7.550000000000000000e+01,7.100000000000000000e+04,5.773937404155731201e-01
5.296000000000000796e+01,7.200000000000000000e+03,7.700000000000000000e+01,7.200000000000000000e+04,4.735228419303894043e-01
5.230666666666665776e+01,7.300000000000000000e+03,7.750000000000000000e+01,7.300000000000000000e+04,3.895725458860397339e-01
5.165333333333332888e+01,7.400000000000000000e+03,7.740000000000000568e+01,7.400000000000000000e+04,4.752446934580802917e-01
5.100000000000000000e+01,7.500000000000000000e+03,7.579999999999999716e+01,7.500000000000000000e+04,5.133417397737503052e-01
