# Exploration %,Episodes,Rewards,Timestep,Training Score
9.934666666666667822e+01,1.000000000000000000e+02,7.650000000000000000e+01,1.000000000000000000e+03,5.036024332046508789e+00
9.869333333333332803e+01,2.000000000000000000e+02,7.629999999999999716e+01,2.000000000000000000e+03,4.701088190078735352e+00
9.804000000000000625e+01,3.000000000000000000e+02,7.620000000000000284e+01,3.000000000000000000e+03,4.321009457111358643e+00
9.738666666666667027e+01,4.000000000000000000e+02,7.620000000000000284e+01,4.000000000000000000e+03,5.311853408813476562e+00
9.673333333333333428e+01,5.000000000000000000e+02,7.650000000000000000e+01,5.000000000000000000e+03,7.243658423423767090e+00
9.607999999999999829e+01,6.000000000000000000e+02,7.629999999999999716e+01,6.000000000000000000e+03,8.137893319129943848e+00
9.542666666666667652e+01,7.000000000000000000e+02,7.629999999999999716e+01,7.000000000000000000e+03,1.086803579330444336e+01
9.477333333333332632e+01,8.000000000000000000e+02,7.620000000000000284e+01,8.000000000000000000e+03,1.130327010154724121e+01
9.412000000000000455e+01,9.000000000000000000e+02,7.600000000000000000e+01,9.000000000000000000e+03,1.216786104440689087e+01
9.346666666666666856e+01,1.000000000000000000e+03,7.590000000000000568e+01,1.000000000000000000e+04,1.677270913124084473e+01
9.281333333333333258e+01,1.100000000000000000e+03,7.640000000000000568e+01,1.100000000000000000e+04,1.541936326026916504e+01
9.215999999999999659e+01,1.200000000000000000e+03,7.690000000000000568e+01,1.200000000000000000e+04,1.118032908439636230e+01
9.150666666666667481e+01,1.300000000000000000e+03,7.670000000000000284e+01,1.300000000000000000e+04,1.131962287425994873e+01
9.085333333333332462e+01,1.400000000000000000e+03,7.640000000000000568e+01,1.400000000000000000e+04,1.283122277259826660e+01
9.020000000000000284e+01,1.500000000000000000e+03,7.679999999999999716e+01,1.500000000000000000e+04,8.664077520370483398e+00
8.954666666666666686e+01,1.600000000000000000e+03,7.690000000000000568e+01,1.600000000000000000e+04,5.440882325172424316e+00
8.889333333333333087e+01,1.700000000000000000e+03,7.700000000000000000e+01,1.700000000000000000e+04,3.149680972099304199e+00
8.823999999999999488e+01,1.800000000000000000e+03,7.720000000000000284e+01,1.800000000000000000e+04,2.764955073595046997e+00
8.758666666666667311e+01,1.900000000000000000e+03,7.709999999999999432e+01,1.900000000000000000e+04,2.397696614265441895e+00
8.693333333333332291e+01,2.000000000000000000e+03,7.750000000000000000e+01,2.000000000000000000e+04,2.025192111730575562e+00
8.628000000000000114e+01,2.100000000000000000e+03,7.729999999999999716e+01,2.100000000000000000e+04,2.158952295780181885e+00
8.562666666666667936e+01,2.200000000000000000e+03,7.740000000000000568e+01,2.200000000000000000e+04,1.769101619720458984e+00
8.497333333333332916e+01,2.300000000000000000e+03,7.720000000000000284e+01,2.300000000000000000e+04,1.904114276170730591e+00
8.431999999999999318e+01,2.400000000000000000e+03,7.740000000000000568e+01,2.400000000000000000e+04,1.589744836091995239e+00
8.366666666666667140e+01,2.500000000000000000e+03,7.740000000000000568e+01,2.500000000000000000e+04,1.866285026073455811e+00
8.301333333333333542e+01,2.600000000000000000e+03,7.800000000000000000e+01,2.600000000000000000e+04,1.156607061624526978e+00
8.235999999999999943e+01,2.700000000000000000e+03,7.740000000000000568e+01,2.700000000000000000e+04,1.959253042936325073e+00
8.170666666666666345e+01,2.800000000000000000e+03,7.750000000000000000e+01,2.800000000000000000e+04,1.465319484472274780e+00
8.105333333333332746e+01,2.900000000000000000e+03,7.759999999999999432e+01,2.900000000000000000e+04,1.318839788436889648e+00
8.040000000000000568e+01,3.000000000000000000e+03,7.770000000000000284e+01,3.000000000000000000e+04,1.172581776976585388e+00
7.974666666666666970e+01,3.100000000000000000e+03,7.750000000000000000e+01,3.100000000000000000e+04,1.093954950571060181e+00
7.909333333333333371e+01,3.200000000000000000e+03,7.790000000000000568e+01,3.200000000000000000e+04,1.132819056510925293e+00
7.843999999999999773e+01,3.300000000000000000e+03,7.729999999999999716e+01,3.300000000000000000e+04,1.018771991133689880e+00
7.778666666666667595e+01,3.400000000000000000e+03,7.779999999999999716e+01,3.400000000000000000e+04,6.240836977958679199e-01
7.713333333333332575e+01,3.500000000000000000e+03,7.740000000000000568e+01,3.500000000000000000e+04,1.159168809652328491e+00
7.648000000000000398e+01,3.600000000000000000e+03,7.770000000000000284e+01,3.600000000000000000e+04,1.011792689561843872e+00
7.582666666666666799e+01,3.700000000000000000e+03,7.800000000000000000e+01,3.700000000000000000e+04,1.148022025823593140e+00
7.517333333333333201e+01,3.800000000000000000e+03,7.759999999999999432e+01,3.800000000000000000e+04,1.606270074844360352e+00
7.451999999999999602e+01,3.900000000000000000e+03,7.770000000000000284e+01,3.900000000000000000e+04,9.332379847764968872e-01
7.386666666666667425e+01,4.000000000000000000e+03,7.779999999999999716e+01,4.000000000000000000e+04,1.105225831270217896e+00
7.321333333333332405e+01,4.100000000000000000e+03,7.779999999999999716e+01,4.100000000000000000e+04,7.193802148103713989e-01
7.256000000000000227e+01,4.200000000000000000e+03,7.809999999999999432e+01,4.200000000000000000e+04,8.865400999784469604e-01
7.190666666666666629e+01,4.300000000000000000e+03,7.809999999999999432e+01,4.300000000000000000e+04,8.323486149311065674e-01
7.125333333333333030e+01,4.400000000000000000e+03,7.840000000000000568e+01,4.400000000000000000e+04,7.435834780335426331e-01
7.059999999999999432e+01,4.500000000000000000e+03,7.820000000000000284e+01,4.500000000000000000e+04,9.879502728581428528e-01
6.994666666666667254e+01,4.600000000000000000e+03,7.790000000000000568e+01,4.600000000000000000e+04,5.247618705034255981e-01
6.929333333333333655e+01,4.700000000000000000e+03,7.809999999999999432e+01,4.700000000000000000e+04,8.095876425504684448e-01
6.864000000000000057e+01,4.800000000000000000e+03,7.800000000000000000e+01,4.800000000000000000e+04,7.027925364673137665e-01
6.798666666666666458e+01,4.900000000000000000e+03,7.809999999999999432e+01,4.900000000000000000e+04,8.311244994401931763e-01
6.733333333333332860e+01,5.000000000000000000e+03,7.809999999999999432e+01,5.000000000000000000e+04,7.668266817927360535e-01
6.668000000000000682e+01,5.100000000000000000e+03,7.820000000000000284e+01,5.100000000000000000e+04,8.133040517568588257e-01
6.602666666666667084e+01,5.200000000000000000e+03,7.759999999999999432e+01,5.200000000000000000e+04,4.683184102177619934e-01
6.537333333333333485e+01,5.300000000000000000e+03,7.809999999999999432e+01,5.300000000000000000e+04,7.568647861480712891e-01
6.471999999999999886e+01,5.400000000000000000e+03,7.700000000000000000e+01,5.400000000000000000e+04,9.445592612028121948e-01
6.406666666666667709e+01,5.500000000000000000e+03,7.750000000000000000e+01,5.500000000000000000e+04,6.930008232593536377e-01
6.341333333333333400e+01,5.600000000000000000e+03,7.690000000000000568e+01,5.600000000000000000e+04,6.550205945968627930e-01
6.275999999999999091e+01,5.700000000000000000e+03,7.800000000000000000e+01,5.700000000000000000e+04,6.816518530249595642e-01
6.210666666666666913e+01,5.800000000000000000e+03,7.659999999999999432e+01,5.800000000000000000e+04,6.861798763275146484e-01
6.145333333333334025e+01,5.900000000000000000e+03,7.650000000000000000e+01,5.900000000000000000e+04,5.440987199544906616e-01
6.079999999999999716e+01,6.000000000000000000e+03,7.679999999999999716e+01,6.000000000000000000e+04,7.645770013332366943e-01
6.014666666666666117e+01,6.100000000000000000e+03,7.720000000000000284e+01,6.100000000000000000e+04,5.344703197479248047e-01
5.949333333333333229e+01,6.200000000000000000e+03,7.709999999999999432e+01,6.200000000000000000e+04,5.326344221830368042e-01
5.884000000000000341e+01,6.300000000000000000e+03,7.690000000000000568e+01,6.300000000000000000e+04,7.202021032571792603e-01
5.818666666666666742e+01,6.400000000000000000e+03,7.740000000000000568e+01,6.400000000000000000e+04,5.550006479024887085e-01
5.753333333333332433e+01,6.500000000000000000e+03,7.720000000000000284e+01,6.500000000000000000e+04,7.366413176059722900e-01
5.687999999999999545e+01,6.600000000000000000e+03,7.790000000000000568e+01,6.600000000000000000e+04,4.370372481644153595e-01
5.622666666666666657e+01,6.700000000000000000e+03,7.820000000000000284e+01,6.700000000000000000e+04,6.054309904575347900e-01
5.557333333333333769e+01,6.800000000000000000e+03,7.890000000000000568e+01,6.800000000000000000e+04,6.326980143785476685e-01
5.491999999999998749e+01,6.900000000000000000e+03,7.920000000000000284e+01,6.900000000000000000e+04,4.259739592671394348e-01
5.426666666666666572e+01,7.000000000000000000e+03,7.890000000000000568e+01,7.000000000000000000e+04,4.029650092124938965e-01
5.361333333333333684e+01,7.100000000000000000e+03,7.859999999999999432e+01,7.100000000000000000e+04,4.331425055861473083e-01
5.296000000000000796e+01,7.200000000000000000e+03,7.800000000000000000e+01,7.200000000000000000e+04,6.027132198214530945e-01
5.230666666666665776e+01,7.300000000000000000e+03,7.720000000000000284e+01,7.300000000000000000e+04,4.624170288443565369e-01
5.165333333333332888e+01,7.400000000000000000e+03,7.770000000000000284e+01,7.400000000000000000e+04,4.259717985987663269e-01
5.100000000000000000e+01,7.500000000000000000e+03,7.750000000000000000e+01,7.500000000000000000e+04,5.738580375909805298e-01
5.034666666666666401e+01,7.600000000000000000e+03,7.700000000000000000e+01,7.600000000000000000e+04,4.463322013616561890e-01
4.969333333333333513e+01,7.700000000000000000e+03,7.750000000000000000e+01,7.700000000000000000e+04,3.184663429856300354e-01
4.903999999999999204e+01,7.800000000000000000e+03,7.640000000000000568e+01,7.800000000000000000e+04,5.542357638478279114e-01
4.838666666666667737e+01,7.900000000000000000e+03,7.640000000000000568e+01,7.900000000000000000e+04,4.868107512593269348e-01
4.773333333333334139e+01,8.000000000000000000e+03,7.600000000000000000e+01,8.000000000000000000e+04,6.393125876784324646e-01
4.707999999999999829e+01,8.100000000000000000e+03,7.890000000000000568e+01,8.100000000000000000e+04,3.773140162229537964e-01
4.642666666666666941e+01,8.200000000000000000e+03,7.870000000000000284e+01,8.200000000000000000e+04,2.577235326170921326e-01
4.577333333333333343e+01,8.300000000000000000e+03,7.950000000000000000e+01,8.300000000000000000e+04,3.479791805148124695e-01
4.511999999999999034e+01,8.400000000000000000e+03,7.959999999999999432e+01,8.400000000000000000e+04,3.737111315131187439e-01
4.446666666666666856e+01,8.500000000000000000e+03,7.940000000000000568e+01,8.500000000000000000e+04,3.296506293118000031e-01
4.381333333333332547e+01,8.600000000000000000e+03,7.979999999999999716e+01,8.600000000000000000e+04,3.241242691874504089e-01
4.316000000000001080e+01,8.700000000000000000e+03,7.950000000000000000e+01,8.700000000000000000e+04,2.923253327608108521e-01
4.250666666666666771e+01,8.800000000000000000e+03,7.959999999999999432e+01,8.800000000000000000e+04,2.620726861059665680e-01
4.185333333333333172e+01,8.900000000000000000e+03,7.959999999999999432e+01,8.900000000000000000e+04,2.445801384747028351e-01
4.120000000000000284e+01,9.000000000000000000e+03,7.890000000000000568e+01,9.000000000000000000e+04,2.973796911537647247e-01
4.054666666666666686e+01,9.100000000000000000e+03,7.929999999999999716e+01,9.100000000000000000e+04,1.746708918362855911e-01
3.989333333333333798e+01,9.200000000000000000e+03,7.929999999999999716e+01,9.200000000000000000e+04,1.004243977367877960e-01
3.923999999999999488e+01,9.300000000000000000e+03,7.929999999999999716e+01,9.300000000000000000e+04,1.707221306860446930e-01
3.858666666666666600e+01,9.400000000000000000e+03,7.990000000000000568e+01,9.400000000000000000e+04,2.000880278646945953e-01
3.793333333333334423e+01,9.500000000000000000e+03,7.970000000000000284e+01,9.500000000000000000e+04,1.869819927960634232e-01
3.728000000000000114e+01,9.600000000000000000e+03,7.990000000000000568e+01,9.600000000000000000e+04,1.726364083588123322e-01
3.662666666666667226e+01,9.700000000000000000e+03,7.979999999999999716e+01,9.700000000000000000e+04,2.268152348697185516e-01
3.597333333333333627e+01,9.800000000000000000e+03,7.990000000000000568e+01,9.800000000000000000e+04,2.225451022386550903e-01
3.531999999999999318e+01,9.900000000000000000e+03,7.979999999999999716e+01,9.900000000000000000e+04,1.868619751185178757e-01
3.466666666666667140e+01,1.000000000000000000e+04,7.990000000000000568e+01,1.000000000000000000e+05,1.865927092730998993e-01
3.401333333333332831e+01,1.010000000000000000e+04,7.979999999999999716e+01,1.010000000000000000e+05,1.873121634125709534e-01
3.335999999999999943e+01,1.020000000000000000e+04,8.029999999999999716e+01,1.020000000000000000e+05,1.684858854860067368e-01
3.270666666666667055e+01,1.030000000000000000e+04,8.020000000000000284e+01,1.030000000000000000e+05,1.766790822148323059e-01
3.205333333333333456e+01,1.040000000000000000e+04,8.029999999999999716e+01,1.040000000000000000e+05,2.027773186564445496e-01
3.140000000000000568e+01,1.050000000000000000e+04,8.009999999999999432e+01,1.050000000000000000e+05,1.632555779069662094e-01
3.074666666666666615e+01,1.060000000000000000e+04,8.020000000000000284e+01,1.060000000000000000e+05,1.836768630892038345e-01
3.009333333333332661e+01,1.070000000000000000e+04,8.020000000000000284e+01,1.070000000000000000e+05,1.446524206548929214e-01
2.943999999999999773e+01,1.080000000000000000e+04,8.029999999999999716e+01,1.080000000000000000e+05,1.426446847617626190e-01
2.878666666666667240e+01,1.090000000000000000e+04,8.020000000000000284e+01,1.090000000000000000e+05,1.852213367819786072e-01
2.813333333333334352e+01,1.100000000000000000e+04,8.050000000000000000e+01,1.100000000000000000e+05,8.866389840841293335e-02
2.748000000000000398e+01,1.110000000000000000e+04,8.009999999999999432e+01,1.110000000000000000e+05,1.540623717010021210e-01
2.682666666666666444e+01,1.120000000000000000e+04,8.029999999999999716e+01,1.120000000000000000e+05,1.310583055019378662e-01
2.617333333333333911e+01,1.130000000000000000e+04,8.040000000000000568e+01,1.130000000000000000e+05,1.373281013220548630e-01
2.551999999999999957e+01,1.140000000000000000e+04,8.040000000000000568e+01,1.140000000000000000e+05,7.384639419615268707e-02
2.486666666666666003e+01,1.150000000000000000e+04,8.040000000000000568e+01,1.150000000000000000e+05,1.357153337448835373e-01
2.421333333333333115e+01,1.160000000000000000e+04,8.040000000000000568e+01,1.160000000000000000e+05,9.291564114391803741e-02
2.356000000000000227e+01,1.170000000000000000e+04,8.029999999999999716e+01,1.170000000000000000e+05,1.662796363234519958e-01
2.290666666666667339e+01,1.180000000000000000e+04,8.020000000000000284e+01,1.180000000000000000e+05,1.268244199454784393e-01
2.225333333333333741e+01,1.190000000000000000e+04,8.040000000000000568e+01,1.190000000000000000e+05,1.293795704841613770e-01
2.159999999999999787e+01,1.200000000000000000e+04,7.750000000000000000e+01,1.200000000000000000e+05,9.686752557754516602e-01
2.094666666666666899e+01,1.210000000000000000e+04,7.520000000000000284e+01,1.210000000000000000e+05,1.124116960912942886e+00
2.029333333333332945e+01,1.220000000000000000e+04,7.650000000000000000e+01,1.220000000000000000e+05,3.256363794207572937e-01
1.964000000000000057e+01,1.230000000000000000e+04,7.359999999999999432e+01,1.230000000000000000e+05,6.307003349065780640e-01
1.898666666666667524e+01,1.240000000000000000e+04,7.870000000000000284e+01,1.240000000000000000e+05,1.674116104841232300e-01
1.833333333333333570e+01,1.250000000000000000e+04,7.529999999999999716e+01,1.250000000000000000e+05,1.155201651155948639e+00
1.768000000000000682e+01,1.260000000000000000e+04,7.659999999999999432e+01,1.260000000000000000e+05,1.412817969918251038e+00
1.702666666666666728e+01,1.270000000000000000e+04,7.600000000000000000e+01,1.270000000000000000e+05,2.057693637907505035e-01
1.637333333333332774e+01,1.280000000000000000e+04,7.409999999999999432e+01,1.280000000000000000e+05,7.807072550058364868e-01
1.572000000000000064e+01,1.290000000000000000e+04,7.950000000000000000e+01,1.290000000000000000e+05,1.927020922303199768e-01
1.506666666666666110e+01,1.300000000000000000e+04,7.700000000000000000e+01,1.300000000000000000e+05,1.800816468894481659e-01
1.441333333333333400e+01,1.310000000000000000e+04,7.179999999999999716e+01,1.310000000000000000e+05,9.930259734392166138e-01
1.376000000000000512e+01,1.320000000000000000e+04,7.379999999999999716e+01,1.320000000000000000e+05,8.368030339479446411e-01
1.310666666666666558e+01,1.330000000000000000e+04,7.850000000000000000e+01,1.330000000000000000e+05,2.044769562780857086e-01
