# Exploration %,Episodes,Rewards,Timestep,Training Score
9.934666666666667822e+01,1.000000000000000000e+02,7.620000000000000284e+01,1.000000000000000000e+03,5.670690536499023438e+00
9.869333333333332803e+01,2.000000000000000000e+02,7.629999999999999716e+01,2.000000000000000000e+03,5.085326910018920898e+00
9.804000000000000625e+01,3.000000000000000000e+02,7.629999999999999716e+01,3.000000000000000000e+03,4.778998732566833496e+00
9.738666666666667027e+01,4.000000000000000000e+02,7.640000000000000568e+01,4.000000000000000000e+03,5.026752233505249023e+00
9.673333333333333428e+01,5.000000000000000000e+02,7.620000000000000284e+01,5.000000000000000000e+03,5.891337871551513672e+00
9.607999999999999829e+01,6.000000000000000000e+02,7.629999999999999716e+01,6.000000000000000000e+03,6.557121157646179199e+00
9.542666666666667652e+01,7.000000000000000000e+02,7.640000000000000568e+01,7.000000000000000000e+03,8.128389716148376465e+00
9.477333333333332632e+01,8.000000000000000000e+02,7.609999999999999432e+01,8.000000000000000000e+03,9.440244436264038086e+00
9.412000000000000455e+01,9.000000000000000000e+02,7.620000000000000284e+01,9.000000000000000000e+03,1.117367386817932129e+01
9.346666666666666856e+01,1.000000000000000000e+03,7.659999999999999432e+01,1.000000000000000000e+04,1.350690913200378418e+01
9.281333333333333258e+01,1.100000000000000000e+03,7.659999999999999432e+01,1.100000000000000000e+04,9.190890312194824219e+00
9.215999999999999659e+01,1.200000000000000000e+03,7.640000000000000568e+01,1.200000000000000000e+04,1.183835935592651367e+01
9.150666666666667481e+01,1.300000000000000000e+03,7.659999999999999432e+01,1.300000000000000000e+04,8.754837632179260254e+00
9.085333333333332462e+01,1.400000000000000000e+03,7.670000000000000284e+01,1.400000000000000000e+04,7.329149127006530762e+00
9.020000000000000284e+01,1.500000000000000000e+03,7.659999999999999432e+01,1.500000000000000000e+04,9.068082213401794434e+00
8.954666666666666686e+01,1.600000000000000000e+03,7.679999999999999716e+01,1.600000000000000000e+04,5.054953038692474365e+00
8.889333333333333087e+01,1.700000000000000000e+03,7.679999999999999716e+01,1.700000000000000000e+04,5.456523060798645020e+00
8.823999999999999488e+01,1.800000000000000000e+03,7.659999999999999432e+01,1.800000000000000000e+04,3.385015368461608887e+00
8.758666666666667311e+01,1.900000000000000000e+03,7.729999999999999716e+01,1.900000000000000000e+04,2.579848587512969971e+00
8.693333333333332291e+01,2.000000000000000000e+03,7.720000000000000284e+01,2.000000000000000000e+04,2.464561164379119873e+00
8.628000000000000114e+01,2.100000000000000000e+03,7.690000000000000568e+01,2.100000000000000000e+04,2.437093138694763184e+00
8.562666666666667936e+01,2.200000000000000000e+03,7.709999999999999432e+01,2.200000000000000000e+04,2.626202046871185303e+00
8.497333333333332916e+01,2.300000000000000000e+03,7.729999999999999716e+01,2.300000000000000000e+04,2.394931644201278687e+00
8.431999999999999318e+01,2.400000000000000000e+03,7.690000000000000568e+01,2.400000000000000000e+04,3.252051293849945068e+00
8.366666666666667140e+01,2.500000000000000000e+03,7.740000000000000568e+01,2.500000000000000000e+04,3.249418973922729492e+00
8.301333333333333542e+01,2.600000000000000000e+03,7.759999999999999432e+01,2.600000000000000000e+04,3.264466106891632080e+00
8.235999999999999943e+01,2.700000000000000000e+03,7.729999999999999716e+01,2.700000000000000000e+04,3.461584895849227905e+00
8.170666666666666345e+01,2.800000000000000000e+03,7.740000000000000568e+01,2.800000000000000000e+04,2.438995301723480225e+00
8.105333333333332746e+01,2.900000000000000000e+03,7.770000000000000284e+01,2.900000000000000000e+04,2.632589995861053467e+00
8.040000000000000568e+01,3.000000000000000000e+03,7.779999999999999716e+01,3.000000000000000000e+04,2.357916295528411865e+00
7.974666666666666970e+01,3.100000000000000000e+03,7.770000000000000284e+01,3.100000000000000000e+04,2.385576158761978149e+00
7.909333333333333371e+01,3.200000000000000000e+03,7.750000000000000000e+01,3.200000000000000000e+04,1.778789550065994263e+00
7.843999999999999773e+01,3.300000000000000000e+03,7.750000000000000000e+01,3.300000000000000000e+04,1.576235979795455933e+00
7.778666666666667595e+01,3.400000000000000000e+03,7.759999999999999432e+01,3.400000000000000000e+04,1.935370057821273804e+00
7.713333333333332575e+01,3.500000000000000000e+03,7.800000000000000000e+01,3.500000000000000000e+04,1.804157853126525879e+00
7.648000000000000398e+01,3.600000000000000000e+03,7.750000000000000000e+01,3.600000000000000000e+04,1.220427095890045166e+00
7.582666666666666799e+01,3.700000000000000000e+03,7.750000000000000000e+01,3.700000000000000000e+04,1.446919530630111694e+00
7.517333333333333201e+01,3.800000000000000000e+03,7.759999999999999432e+01,3.800000000000000000e+04,1.386652857065200806e+00
7.451999999999999602e+01,3.900000000000000000e+03,7.820000000000000284e+01,3.900000000000000000e+04,1.207434624433517456e+00
7.386666666666667425e+01,4.000000000000000000e+03,7.809999999999999432e+01,4.000000000000000000e+04,1.397775650024414062e+00
7.321333333333332405e+01,4.100000000000000000e+03,7.790000000000000568e+01,4.100000000000000000e+04,1.362804695963859558e+00
7.256000000000000227e+01,4.200000000000000000e+03,7.809999999999999432e+01,4.200000000000000000e+04,1.060940563678741455e+00
7.190666666666666629e+01,4.300000000000000000e+03,7.820000000000000284e+01,4.300000000000000000e+04,1.514375448226928711e+00
7.125333333333333030e+01,4.400000000000000000e+03,7.829999999999999716e+01,4.400000000000000000e+04,1.283101692795753479e+00
7.059999999999999432e+01,4.500000000000000000e+03,7.820000000000000284e+01,4.500000000000000000e+04,1.190420046448707581e+00
6.994666666666667254e+01,4.600000000000000000e+03,7.859999999999999432e+01,4.600000000000000000e+04,1.512571364641189575e+00
6.929333333333333655e+01,4.700000000000000000e+03,7.840000000000000568e+01,4.700000000000000000e+04,1.317377895116806030e+00
6.864000000000000057e+01,4.800000000000000000e+03,7.840000000000000568e+01,4.800000000000000000e+04,1.531105726957321167e+00
6.798666666666666458e+01,4.900000000000000000e+03,7.829999999999999716e+01,4.900000000000000000e+04,1.150531977415084839e+00
6.733333333333332860e+01,5.000000000000000000e+03,7.850000000000000000e+01,5.000000000000000000e+04,1.399681955575942993e+00
6.668000000000000682e+01,5.100000000000000000e+03,7.859999999999999432e+01,5.100000000000000000e+04,1.279448062181472778e+00
6.602666666666667084e+01,5.200000000000000000e+03,7.870000000000000284e+01,5.200000000000000000e+04,9.682662189006805420e-01
6.537333333333333485e+01,5.300000000000000000e+03,7.870000000000000284e+01,5.300000000000000000e+04,1.267608031630516052e+00
6.471999999999999886e+01,5.400000000000000000e+03,7.870000000000000284e+01,5.400000000000000000e+04,9.749338030815124512e-01
6.406666666666667709e+01,5.500000000000000000e+03,7.859999999999999432e+01,5.500000000000000000e+04,9.131577163934707642e-01
6.341333333333333400e+01,5.600000000000000000e+03,7.859999999999999432e+01,5.600000000000000000e+04,1.227192804217338562e+00
6.275999999999999091e+01,5.700000000000000000e+03,7.890000000000000568e+01,5.700000000000000000e+04,1.218610346317291260e+00
6.210666666666666913e+01,5.800000000000000000e+03,7.870000000000000284e+01,5.800000000000000000e+04,9.039679169654846191e-01
6.145333333333334025e+01,5.900000000000000000e+03,7.870000000000000284e+01,5.900000000000000000e+04,9.581129699945449829e-01
6.079999999999999716e+01,6.000000000000000000e+03,7.890000000000000568e+01,6.000000000000000000e+04,1.137676477432250977e+00
6.014666666666666117e+01,6.100000000000000000e+03,7.829999999999999716e+01,6.100000000000000000e+04,8.215232118964195251e-01
5.949333333333333229e+01,6.200000000000000000e+03,7.870000000000000284e+01,6.200000000000000000e+04,1.065136179327964783e+00
5.884000000000000341e+01,6.300000000000000000e+03,7.890000000000000568e+01,6.300000000000000000e+04,8.019591122865676880e-01
5.818666666666666742e+01,6.400000000000000000e+03,7.890000000000000568e+01,6.400000000000000000e+04,1.004407852888107300e+00
5.753333333333332433e+01,6.500000000000000000e+03,7.909999999999999432e+01,6.500000000000000000e+04,1.047573864459991455e+00
5.687999999999999545e+01,6.600000000000000000e+03,7.879999999999999716e+01,6.600000000000000000e+04,9.378208816051483154e-01
5.622666666666666657e+01,6.700000000000000000e+03,7.890000000000000568e+01,6.700000000000000000e+04,4.901845343410968781e-01
5.557333333333333769e+01,6.800000000000000000e+03,7.879999999999999716e+01,6.800000000000000000e+04,1.042992949485778809e+00
5.491999999999998749e+01,6.900000000000000000e+03,7.900000000000000000e+01,6.900000000000000000e+04,1.032614767551422119e+00
5.426666666666666572e+01,7.000000000000000000e+03,7.929999999999999716e+01,7.000000000000000000e+04,7.821102291345596313e-01
5.361333333333333684e+01,7.100000000000000000e+03,7.909999999999999432e+01,7.100000000000000000e+04,9.887702316045761108e-01
5.296000000000000796e+01,7.200000000000000000e+03,7.909999999999999432e+01,7.200000000000000000e+04,6.215116158127784729e-01
5.230666666666665776e+01,7.300000000000000000e+03,7.900000000000000000e+01,7.300000000000000000e+04,1.039481669664382935e+00
5.165333333333332888e+01,7.400000000000000000e+03,7.929999999999999716e+01,7.400000000000000000e+04,6.540190204977989197e-01
5.100000000000000000e+01,7.500000000000000000e+03,7.929999999999999716e+01,7.500000000000000000e+04,6.651411131024360657e-01
5.034666666666666401e+01,7.600000000000000000e+03,7.850000000000000000e+01,7.600000000000000000e+04,7.310345768928527832e-01
4.969333333333333513e+01,7.700000000000000000e+03,7.840000000000000568e+01,7.700000000000000000e+04,8.115990012884140015e-01
4.903999999999999204e+01,7.800000000000000000e+03,7.809999999999999432e+01,7.800000000000000000e+04,8.056657910346984863e-01
4.838666666666667737e+01,7.900000000000000000e+03,7.829999999999999716e+01,7.900000000000000000e+04,7.342959940433502197e-01
4.773333333333334139e+01,8.000000000000000000e+03,7.909999999999999432e+01,8.000000000000000000e+04,7.993523031473159790e-01
4.707999999999999829e+01,8.100000000000000000e+03,7.879999999999999716e+01,8.100000000000000000e+04,7.221338897943496704e-01
4.642666666666666941e+01,8.200000000000000000e+03,7.909999999999999432e+01,8.200000000000000000e+04,6.118657067418098450e-01
4.577333333333333343e+01,8.300000000000000000e+03,7.870000000000000284e+01,8.300000000000000000e+04,5.124206021428108215e-01
4.511999999999999034e+01,8.400000000000000000e+03,7.870000000000000284e+01,8.400000000000000000e+04,7.085625529289245605e-01
4.446666666666666856e+01,8.500000000000000000e+03,7.840000000000000568e+01,8.500000000000000000e+04,5.526069253683090210e-01
4.381333333333332547e+01,8.600000000000000000e+03,7.809999999999999432e+01,8.600000000000000000e+04,7.856903746724128723e-01
4.316000000000001080e+01,8.700000000000000000e+03,7.770000000000000284e+01,8.700000000000000000e+04,5.171723365783691406e-01
4.250666666666666771e+01,8.800000000000000000e+03,7.750000000000000000e+01,8.800000000000000000e+04,6.572264432907104492e-01
4.185333333333333172e+01,8.900000000000000000e+03,7.779999999999999716e+01,8.900000000000000000e+04,5.086514800786972046e-01
4.120000000000000284e+01,9.000000000000000000e+03,7.759999999999999432e+01,9.000000000000000000e+04,7.149823009967803955e-01
4.054666666666666686e+01,9.100000000000000000e+03,7.759999999999999432e+01,9.100000000000000000e+04,5.668392926454544067e-01
3.989333333333333798e+01,9.200000000000000000e+03,7.779999999999999716e+01,9.200000000000000000e+04,5.454625040292739868e-01
3.923999999999999488e+01,9.300000000000000000e+03,7.720000000000000284e+01,9.300000000000000000e+04,7.301261983811855316e-01
3.858666666666666600e+01,9.400000000000000000e+03,7.759999999999999432e+01,9.400000000000000000e+04,6.117678582668304443e-01
3.793333333333334423e+01,9.500000000000000000e+03,7.620000000000000284e+01,9.500000000000000000e+04,8.465656340122222900e-01
3.728000000000000114e+01,9.600000000000000000e+03,7.729999999999999716e+01,9.600000000000000000e+04,4.272033274173736572e-01
3.662666666666667226e+01,9.700000000000000000e+03,7.820000000000000284e+01,9.700000000000000000e+04,4.539505094289779663e-01
3.597333333333333627e+01,9.800000000000000000e+03,7.879999999999999716e+01,9.800000000000000000e+04,3.374292701482772827e-01
3.531999999999999318e+01,9.900000000000000000e+03,7.879999999999999716e+01,9.900000000000000000e+04,4.111304655671119690e-01
3.466666666666667140e+01,1.000000000000000000e+04,7.890000000000000568e+01,1.000000000000000000e+05,3.760263547301292419e-01
3.401333333333332831e+01,1.010000000000000000e+04,7.829999999999999716e+01,1.010000000000000000e+05,4.791534319519996643e-01
3.335999999999999943e+01,1.020000000000000000e+04,7.770000000000000284e+01,1.020000000000000000e+05,3.364457935094833374e-01
3.270666666666667055e+01,1.030000000000000000e+04,7.279999999999999716e+01,1.030000000000000000e+05,1.090925186872482300e+00
3.205333333333333456e+01,1.040000000000000000e+04,7.579999999999999716e+01,1.040000000000000000e+05,5.289886891841888428e-01
3.140000000000000568e+01,1.050000000000000000e+04,7.559999999999999432e+01,1.050000000000000000e+05,5.795454457402229309e-01
3.074666666666666615e+01,1.060000000000000000e+04,7.550000000000000000e+01,1.060000000000000000e+05,6.344915479421615601e-01
3.009333333333332661e+01,1.070000000000000000e+04,7.809999999999999432e+01,1.070000000000000000e+05,3.921921178698539734e-01
2.943999999999999773e+01,1.080000000000000000e+04,7.829999999999999716e+01,1.080000000000000000e+05,3.844921588897705078e-01
2.878666666666667240e+01,1.090000000000000000e+04,7.870000000000000284e+01,1.090000000000000000e+05,3.225417211651802063e-01
2.813333333333334352e+01,1.100000000000000000e+04,7.850000000000000000e+01,1.100000000000000000e+05,3.227103017270565033e-01
2.748000000000000398e+01,1.110000000000000000e+04,7.850000000000000000e+01,1.110000000000000000e+05,3.523740395903587341e-01
2.682666666666666444e+01,1.120000000000000000e+04,7.800000000000000000e+01,1.120000000000000000e+05,3.762425556778907776e-01
2.617333333333333911e+01,1.130000000000000000e+04,7.470000000000000284e+01,1.130000000000000000e+05,1.091126576066017151e+00
2.551999999999999957e+01,1.140000000000000000e+04,7.650000000000000000e+01,1.140000000000000000e+05,2.917432077229022980e-01
2.486666666666666003e+01,1.150000000000000000e+04,7.459999999999999432e+01,1.150000000000000000e+05,6.862877234816551208e-01
2.421333333333333115e+01,1.160000000000000000e+04,7.559999999999999432e+01,1.160000000000000000e+05,4.766509085893630981e-01
2.356000000000000227e+01,1.170000000000000000e+04,7.509999999999999432e+01,1.170000000000000000e+05,6.280122250318527222e-01
2.290666666666667339e+01,1.180000000000000000e+04,7.759999999999999432e+01,1.180000000000000000e+05,3.587769679725170135e-01
2.225333333333333741e+01,1.190000000000000000e+04,7.859999999999999432e+01,1.190000000000000000e+05,2.944627702236175537e-01
2.159999999999999787e+01,1.200000000000000000e+04,7.979999999999999716e+01,1.200000000000000000e+05,3.565322980284690857e-01
2.094666666666666899e+01,1.210000000000000000e+04,8.000000000000000000e+01,1.210000000000000000e+05,3.931236788630485535e-01
2.029333333333332945e+01,1.220000000000000000e+04,7.979999999999999716e+01,1.220000000000000000e+05,3.755063191056251526e-01
1.964000000000000057e+01,1.230000000000000000e+04,8.000000000000000000e+01,1.230000000000000000e+05,2.738184630870819092e-01
1.898666666666667524e+01,1.240000000000000000e+04,8.000000000000000000e+01,1.240000000000000000e+05,2.037483602762222290e-01
1.833333333333333570e+01,1.250000000000000000e+04,7.990000000000000568e+01,1.250000000000000000e+05,2.667004503309726715e-01
1.768000000000000682e+01,1.260000000000000000e+04,7.990000000000000568e+01,1.260000000000000000e+05,2.169888913631439209e-01
1.702666666666666728e+01,1.270000000000000000e+04,7.970000000000000284e+01,1.270000000000000000e+05,1.812456566840410233e-01
1.637333333333332774e+01,1.280000000000000000e+04,7.920000000000000284e+01,1.280000000000000000e+05,2.213021032512187958e-01
1.572000000000000064e+01,1.290000000000000000e+04,7.890000000000000568e+01,1.290000000000000000e+05,2.155448421835899353e-01
1.506666666666666110e+01,1.300000000000000000e+04,7.929999999999999716e+01,1.300000000000000000e+05,3.429041616618633270e-01
1.441333333333333400e+01,1.310000000000000000e+04,7.940000000000000568e+01,1.310000000000000000e+05,1.475160680711269379e-01
1.376000000000000512e+01,1.320000000000000000e+04,7.920000000000000284e+01,1.320000000000000000e+05,2.275615818798542023e-01
1.310666666666666558e+01,1.330000000000000000e+04,8.009999999999999432e+01,1.330000000000000000e+05,1.800155863165855408e-01
1.245333333333333847e+01,1.340000000000000000e+04,8.009999999999999432e+01,1.340000000000000000e+05,1.681442186236381531e-01
1.179999999999999893e+01,1.350000000000000000e+04,8.000000000000000000e+01,1.350000000000000000e+05,1.960225291550159454e-01
1.114666666666667183e+01,1.360000000000000000e+04,7.990000000000000568e+01,1.360000000000000000e+05,2.560288757085800171e-01
1.049333333333333229e+01,1.370000000000000000e+04,8.009999999999999432e+01,1.370000000000000000e+05,2.226634882390499115e-01
9.839999999999992752e+00,1.380000000000000000e+04,8.000000000000000000e+01,1.380000000000000000e+05,2.146149538457393646e-01
9.186666666666676306e+00,1.390000000000000000e+04,8.000000000000000000e+01,1.390000000000000000e+05,1.660422552376985550e-01
8.533333333333336768e+00,1.400000000000000000e+04,8.020000000000000284e+01,1.400000000000000000e+05,1.535203680396080017e-01
7.880000000000009663e+00,1.410000000000000000e+04,8.029999999999999716e+01,1.410000000000000000e+05,1.562183145433664322e-01
7.226666666666670125e+00,1.420000000000000000e+04,8.009999999999999432e+01,1.420000000000000000e+05,1.566033400595188141e-01
6.573333333333330586e+00,1.430000000000000000e+04,8.020000000000000284e+01,1.430000000000000000e+05,1.208011973649263382e-01
5.920000000000003482e+00,1.440000000000000000e+04,8.040000000000000568e+01,1.440000000000000000e+05,1.207115529105067253e-01
5.266666666666663943e+00,1.450000000000000000e+04,8.029999999999999716e+01,1.450000000000000000e+05,1.516005918383598328e-01
4.613333333333324404e+00,1.460000000000000000e+04,7.979999999999999716e+01,1.460000000000000000e+05,1.465107053518295288e-01
3.960000000000007958e+00,1.470000000000000000e+04,7.970000000000000284e+01,1.470000000000000000e+05,1.274641342461109161e-01
3.306666666666668863e+00,1.480000000000000000e+04,8.029999999999999716e+01,1.480000000000000000e+05,1.623131111264228821e-01
2.653333333333340871e+00,1.490000000000000000e+04,8.040000000000000568e+01,1.490000000000000000e+05,1.042325291782617569e-01
2.000000000000001776e+00,1.500000000000000000e+04,8.050000000000000000e+01,1.500000000000000000e+05,1.717008985579013824e-01
2.000000000000001776e+00,1.510000000000000000e+04,8.040000000000000568e+01,1.510000000000000000e+05,1.388326985761523247e-01
2.000000000000001776e+00,1.520000000000000000e+04,8.040000000000000568e+01,1.520000000000000000e+05,1.748643517494201660e-01
2.000000000000001776e+00,1.530000000000000000e+04,8.040000000000000568e+01,1.530000000000000000e+05,1.240151580423116684e-01
2.000000000000001776e+00,1.540000000000000000e+04,8.040000000000000568e+01,1.540000000000000000e+05,1.576181035488843918e-01
2.000000000000001776e+00,1.550000000000000000e+04,8.040000000000000568e+01,1.550000000000000000e+05,1.032547857612371445e-01
2.000000000000001776e+00,1.560000000000000000e+04,8.040000000000000568e+01,1.560000000000000000e+05,1.194487800821661949e-01
2.000000000000001776e+00,1.570000000000000000e+04,8.040000000000000568e+01,1.570000000000000000e+05,1.095786076039075851e-01
2.000000000000001776e+00,1.580000000000000000e+04,8.040000000000000568e+01,1.580000000000000000e+05,1.241922024637460709e-01
2.000000000000001776e+00,1.590000000000000000e+04,8.029999999999999716e+01,1.590000000000000000e+05,1.053773583844304085e-01
2.000000000000001776e+00,1.600000000000000000e+04,8.040000000000000568e+01,1.600000000000000000e+05,7.361429091542959213e-02
2.000000000000001776e+00,1.610000000000000000e+04,8.040000000000000568e+01,1.610000000000000000e+05,9.076071158051490784e-02
2.000000000000001776e+00,1.620000000000000000e+04,8.040000000000000568e+01,1.620000000000000000e+05,1.200470961630344391e-01
2.000000000000001776e+00,1.630000000000000000e+04,8.040000000000000568e+01,1.630000000000000000e+05,1.341054793447256088e-01
2.000000000000001776e+00,1.640000000000000000e+04,8.040000000000000568e+01,1.640000000000000000e+05,1.515926942229270935e-01
2.000000000000001776e+00,1.650000000000000000e+04,8.040000000000000568e+01,1.650000000000000000e+05,1.237582229077816010e-01
2.000000000000001776e+00,1.660000000000000000e+04,8.000000000000000000e+01,1.660000000000000000e+05,8.558821165934205055e-02
