# Timestep,Rewards
8.000000000000000000e+03,-4.268435427989552977e+01
1.600000000000000000e+04,-3.405019504432144117e+01
2.400000000000000000e+04,-2.972379552596052577e+01
3.200000000000000000e+04,9.567281364330295190e+00
4.000000000000000000e+04,-3.882385600478752963e+01
4.800000000000000000e+04,-3.071743859451927250e+01
5.600000000000000000e+04,-2.379283678517030864e+01
6.400000000000000000e+04,-3.256592498885636644e+01
7.200000000000000000e+04,-3.364344991334003510e+01
8.000000000000000000e+04,-2.712153288928853101e+01
8.800000000000000000e+04,-1.897300455714287537e+01
9.600000000000000000e+04,6.556159525923135334e+01
1.040000000000000000e+05,7.680452204280577178e+01
1.120000000000000000e+05,7.983461335577604245e+01
1.200000000000000000e+05,8.692667628849201833e+01
1.280000000000000000e+05,8.918571786088062936e+01
1.360000000000000000e+05,9.135710905745347077e+01
1.440000000000000000e+05,9.201182949282552670e+01
1.520000000000000000e+05,9.319940350929763895e+01
1.600000000000000000e+05,9.306645994948658540e+01
1.680000000000000000e+05,9.181875985395585360e+01
1.760000000000000000e+05,9.236835251239723732e+01
1.840000000000000000e+05,9.229805088901085242e+01
1.920000000000000000e+05,9.258025147415570189e+01
2.000000000000000000e+05,9.155121432056208164e+01
2.080000000000000000e+05,9.054002325549076602e+01
2.160000000000000000e+05,9.149790375630230699e+01
2.240000000000000000e+05,8.923706935807663854e+01
2.320000000000000000e+05,9.013749349654862897e+01
2.400000000000000000e+05,8.938752362758479819e+01
2.480000000000000000e+05,8.971230710825916788e+01
2.560000000000000000e+05,8.921571993206870843e+01
2.640000000000000000e+05,8.801888998666498765e+01
2.720000000000000000e+05,8.753481214808010691e+01
2.800000000000000000e+05,8.651012574200305494e+01
2.880000000000000000e+05,8.792294623117899732e+01
2.960000000000000000e+05,8.815849069910549929e+01
3.040000000000000000e+05,8.487555997732084734e+01
3.120000000000000000e+05,8.482867739678231089e+01
3.200000000000000000e+05,8.537657636585747412e+01
3.280000000000000000e+05,8.464930624879235666e+01
3.360000000000000000e+05,8.542364563295430457e+01
3.440000000000000000e+05,8.477803793104455110e+01
3.520000000000000000e+05,8.428166682013629440e+01
3.600000000000000000e+05,8.457904812403194228e+01
3.680000000000000000e+05,8.482734463198896435e+01
3.760000000000000000e+05,8.469399201070575600e+01
3.840000000000000000e+05,8.629774202795533711e+01
3.920000000000000000e+05,8.476084182042436055e+01
4.000000000000000000e+05,8.430621657106615885e+01
