# Timestep,Rewards
8.000000000000000000e+03,-1.135812739742219264e+03
1.600000000000000000e+04,-1.101710412913271057e+03
2.400000000000000000e+04,-1.048139853624594934e+03
3.200000000000000000e+04,-1.042541515194698832e+03
4.000000000000000000e+04,-9.035536823132346171e+02
4.800000000000000000e+04,-3.095157222945174453e+02
5.600000000000000000e+04,-2.261492688201795715e+02
6.400000000000000000e+04,-1.984660585341327987e+02
7.200000000000000000e+04,-2.009184217422083805e+02
8.000000000000000000e+04,-1.843355690714810748e+02
8.800000000000000000e+04,-2.156064628461502366e+02
9.600000000000000000e+04,-2.423402206314329703e+02
1.040000000000000000e+05,-2.790433544977876750e+02
1.120000000000000000e+05,-2.557770008440519121e+02
1.200000000000000000e+05,-2.198686236337395883e+02
1.280000000000000000e+05,-2.596981796487777956e+02
1.360000000000000000e+05,-1.959496739462720143e+02
1.440000000000000000e+05,-1.884029523237861952e+02
1.520000000000000000e+05,-3.201642093578881259e+02
1.600000000000000000e+05,-2.448593728574576289e+02
1.680000000000000000e+05,-2.368846977046399616e+02
1.760000000000000000e+05,-1.900445565282986422e+02
1.840000000000000000e+05,-1.619254467110335440e+02
1.920000000000000000e+05,-2.184023458171751599e+02
2.000000000000000000e+05,-2.178295113019123050e+02
2.080000000000000000e+05,-1.854272200460040665e+02
2.160000000000000000e+05,-2.335622543515420659e+02
2.240000000000000000e+05,-2.081051406438902234e+02
2.320000000000000000e+05,-1.991073682949274826e+02
2.400000000000000000e+05,-1.930877023799634742e+02
2.480000000000000000e+05,-1.951036054294887379e+02
2.560000000000000000e+05,-1.586018065016965863e+02
2.640000000000000000e+05,-1.739753730755827235e+02
2.720000000000000000e+05,-1.650188420539750496e+02
2.800000000000000000e+05,-1.628183220416005952e+02
2.880000000000000000e+05,-1.766712185445798298e+02
2.960000000000000000e+05,-1.800146664570802102e+02
3.040000000000000000e+05,-1.837920695017090225e+02
3.120000000000000000e+05,-1.675026758038088985e+02
3.200000000000000000e+05,-1.634836560199217388e+02
3.280000000000000000e+05,-1.574600133457079210e+02
3.360000000000000000e+05,-1.524931863715023894e+02
3.440000000000000000e+05,-1.649472910848228366e+02
3.520000000000000000e+05,-2.023104801817117107e+02
3.600000000000000000e+05,-1.713109724332112478e+02
3.680000000000000000e+05,-1.945247414467710314e+02
3.760000000000000000e+05,-1.685284971264387082e+02
3.840000000000000000e+05,-1.908157672715996966e+02
3.920000000000000000e+05,-2.185660632807773140e+02
4.000000000000000000e+05,-2.136437867792169811e+02
